,text,prediction
2419,Cleaning experience is preferred however training can be provided,
2420,Ability to work to a schedule and as part of a team,Ability | knowledge_skills | work to a schedule and as part of a team
2421,Significant experience in managing software development and infrastructure projects (traditional and agile) and building software and services that create value for customers,Significant experience | Experience_skills | building software and services that create value for customers && Significant experience | Experience_skills | managing software development and infrastructure projects ( traditional and agile )
2422,Experience within financial services strongly advantageous,Experience | Experience_skills | financial services strongly advantageous && Experience | Experience_areas | financial services strongly advantage
2423,"Business focused – understanding of business and people strategy, business and financial reporting, markets, competitors, customers and products, regulators",Business focused – understanding | knowledge_skills | people strategy && Business focused – understanding | knowledge_skills | business && Business focused – understanding | knowledge_skills | business and financial reporting && Business focused – understanding | knowledge_areas | business && Business focused – understanding | knowledge_skills | markets && Business focused – understanding | knowledge_skills | regulators
2424,"HR expert – credible activist that knows how to get things done and delivers results, partners the delivery of integrated, aligned and innovative solutions, has knowledge of and is an advocate of talent, wellbeing and engagement strategies",
2425,Ability to quickly make a positive impact by understanding our corporate strategy and effectively partner/build relationships with our senior managers in the business to develop the HR strategy,Ability | knowledge_skills | effectively partner / build relationships with our senior managers in the business to develop the HR strategy && Ability | knowledge_skills | understanding our corporate strategy && Ability | knowledge_skills | quickly make a positive impact by
2426,Previous experience of working with senior managers to design and support the implementation of operating model and structural changes and working processes which align with the strategic aims and requirements of the business,Previous experience | Experience_skills | working with senior managers to design and support the implementation of operating model and structural changes and working processes which align with the strategic aims and requirements of the business
2427,The capability to juggle significant concepts and priorities simultaneously,The capability | knowledge_skills | juggle significant concepts and priorities simultaneously
2428,"An ability to inspire, influence and persuade others and ability to overcome barriers",An ability | knowledge_skills | inspire && ability | knowledge_skills | influence and persuade others && ability | knowledge_skills | inspire && ability | knowledge_skills | overcome barriers
2429,A track record of managing and delivering change programmes while maintaining colleague engagement,A track record | Experience_skills | managing and delivering change programmes while maintaining colleague engagement
2430,"An ability to monitor, analyse and interpret core KPI’s and performance indicators to ensure targets are achieved","An ability | knowledge_skills | monitor , analyse and interpret core KPI ’ s and performance indicators to ensure targets are achieved"
2431,Ability to work on your own initiative,Ability | knowledge_skills | work on your own initiative
2432,Ability to follow instructions and training on PPE equipment,Ability | knowledge_skills | follow instructions and training on PPE equipment
2433,Ability to and understand and follow both verbal and written instructions,Ability | knowledge_skills | and understand and follow both verbal and written instructions
2434,"To have a full knowledge and understanding of the designated cleaning area, including the agreed work specification and time allocated to facilities",a full knowledge and understanding | knowledge_skills | the designated cleaning area && a full knowledge and understanding | knowledge_skills | the agreed work specification && a full knowledge and understanding | knowledge_skills | facilities
2435,Cleaning experience is preferred however training can be provided,
2436,Ability to work to a schedule and as part of a team,Ability | knowledge_skills | work to a schedule and as part of a team
2437,A background in an administration,A background | Experience_areas | an administration
2438,Energetic and familiar with working in a fast-paced environment,familiar | knowledge_skills | working in a fast - paced environment
2439, Experience of using Microsoft office packages is also essential,Experience | Experience_skills | using Microsoft office packages
2440,Visitor Experience Assistant,
2441," Our Visitor Experience Assistants are key to ensuring that every visitor enjoys a safe and fantastic experience, from dealing with pre-visit information and helping to plan a perfect day out, to staffing our galleries and historic ships, our team is central to helping us achieve our charitable aims",
2442, Visitor Experience Assistants are required to be mobile and proactive in approaching visitors throughout their shift and to cover the space they work within without adopting a stationary position,be | knowledge_skills | approaching visitors throughout their shift && mobile | knowledge_skills | cover the space they work within without adopting a stationary position && be | knowledge_skills | cover the space they work within without adopting a stationary position && required | knowledge_skills | cover the space they work within without adopting a stationary position && mobile | knowledge_skills | approaching visitors throughout their shift && required | knowledge_skills | approaching visitors throughout their shift
2443,"Be knowledgeable and confident about all Costa products, after all its not just amazing coffee we sell, don’t forget our teas, frostinos, seasonal ranges and much more",Be knowledgeable | knowledge_skills | all
2444,A genuine desire to deliver the very best guest experience,
2445, Ability to communicate effectively,Ability | knowledge_skills | communicate effectively
2446, Ability to contribute to longer term planning by seeing the ‘bigger picture’,Ability | knowledge_skills | contribute to longer term planning by && Ability | knowledge_skills | seeing the ‘ bigger picture ’
2447, Ability to influence decision making and challenge constructively,Ability | knowledge_skills | influence decision making and challenge constructively
2448, Ability to analyse and review complex issues,Ability | knowledge_skills | analyse and review complex issues
2449,"If you experience any difficulties accessing our online portal, or in the event that you are unable to apply online and require a word version of the application form, please contact the Public Appointments Team on 0300 244 1898, or by email at PA_Applications_Mailbox@gov",
2450,A predicted honours degree,
2451," This involves focusing on learning, development and progression across the business",This involves | knowledge_skills | learning
2452,Maintains an efficient and well-organised filing system for area of responsibility,Maintains | knowledge_skills | an efficient and well - organised filing system for area of responsibility
2453,"Preferred PA experience at a senior level, ideally within a corporate background",Preferred PA experience | Experience_skills | a
2454,Ability to remain confidential and professional with sensitive personnel-related data and information,Ability | knowledge_skills | remain confidential and professional with sensitive personnel - related data and information
2455,Ability to work as part of cross-functional team,Ability | knowledge_skills | work as part of cross - functional team
2456,Proficiency in Microsoft Office including Excel,Proficiency | knowledge_skills | Microsoft Office && Proficiency | knowledge_skills | Excel
2457,A degree in any discipline,A degree | degree_in | any discipline
2458,availability of guaranteed-hours contracts and variable-hours contracts,availability | Experience_skills | variable - hours contracts && availability | Experience_skills | guaranteed - hours contracts
2459, Their experience is at the heart of everything we do and this comes down to one simple thing,
2460,The ability to work both individually and as part of a diverse team,The ability | knowledge_skills | work both individually and as part of a diverse team
2461,availability of guaranteed-hours contracts and variable-hours contracts,availability | Experience_skills | variable - hours contracts && availability | Experience_skills | guaranteed - hours contracts
2462, Ability to communicate effectively,Ability | knowledge_skills | communicate effectively
2463, Ability to contribute to longer term planning by seeing the ‘bigger picture’,Ability | knowledge_skills | contribute to longer term planning by && Ability | knowledge_skills | seeing the ‘ bigger picture ’
2464, Ability to influence decision making and challenge constructively,Ability | knowledge_skills | influence decision making and challenge constructively
2465, Ability to analyse and review complex issues,Ability | knowledge_skills | analyse and review complex issues
2466,"If you experience any difficulties accessing our online portal, or in the event that you are unable to apply online and require a word version of the application form, please contact the Public Appointments Team on 0300 244 1898, or by email at PA_Applications_Mailbox@gov",
2467, An understanding of the role of physiotherapy in child health is also desirable,An understanding | knowledge_skills | the role of physiotherapy in
2468," Experience for the role isn’t essential, we’re more interested in what you could bring as a person",
2469,Previous experience of working in a customer facing environment preferred,Previous experience | Experience_skills | working in a customer facing environment preferred
2470,A passion in providing first class guest experience,A passion | knowledge_skills | providing first class guest experience
2471, Relevant experience in an administrative role is essential,
2472, Excellent knowledge of the Edinburgh area,Excellent knowledge | knowledge_skills | the Edinburgh area
2473, Understanding and Interpreting Data at a basic level on inhouse systems,Understanding | knowledge_skills | Interpreting Data at a basic level on inhouse systems
2474, No experience necessary as full training given,No experience necessary | Experience_skills | full training given
2475,Understanding and Interpreting Data at a basic level on inhouse systems,Understanding | knowledge_skills | Interpreting Data at a basic level on inhouse systems
2476,"Practical Experience as a researcher for television, radio or online production","Practical Experience | Experience_skills | a researcher for television , radio or online production"
2477,A broadly based knowledge and a familiarity with conventional and specialised sources of information and research techniques,a familiarity | knowledge_areas | research techniques && a familiarity | knowledge_areas | conventional
2478,The ability to interpret editorial intentions and to contribute to the generation of ideas and the resolution of script problems,The ability | knowledge_skills | interpret editorial intentions && The ability | knowledge_skills | contribute to the generation of ideas and the resolution of script problems
2479,An understanding of script writers and the script writing process,An understanding | knowledge_skills | the script writing process && An understanding | knowledge_skills | script writers
2480,Experience of establishing and maintaining office and administration systems along with familiarity with office and information technology,Experience | Experience_skills | establishing and maintaining office and administration systems along && familiarity | knowledge_skills | office and information technology
2481,"The ability to communicate information effectively to a wide range of production and non-production personnel, internal and external to the BBC as well as the ability to handle confidential and/or controversial information with tact and sensitivity","ability | knowledge_skills | handle confidential and / or controversial information with && The ability | knowledge_skills | communicate information effectively to a wide range of production and non - production personnel , internal and external to the BBC"
2482,An up to date knowledge of the BBC's diverse audiences and their needs and expectations and use this to shape creative and engagement output,
2483,"Knowledge and passion for Continuing Drama, including Doctors",Knowledge and passion | knowledge_skills | Doctors && Knowledge and passion | knowledge_skills | Continuing Drama
2484, Experience Required,
2485,Recruitment experience in a fast-paced environment,
2486,Wider commercial experience of recruitment and HR,Wider commercial experience | Experience_skills | recruitment && Wider commercial experience | Experience_skills | HR
2487,Ability to work and remain calm under pressure,Ability | knowledge_skills | work && Ability | knowledge_skills | remain calm under pressure
2488,"Proficient in MS Office, particularly Excel",Proficient | knowledge_skills | MS Office && Proficient | knowledge_skills | Excel
2489,Highly organised and ability to balance multiple priorities,ability | knowledge_skills | balance multiple priorities
2490,Experience of Microsoft Office packages including Word and Excel,Experience | Experience_skills | Excel && Experience | Experience_skills | Microsoft Office packages && Experience | Experience_skills | Word
2491,Understanding and interpreting data at a basic level,Understanding | knowledge_skills | interpreting data at a basic level
2492," Positive approach to change, with an ability to multi-task, prioritise and manage time effectively",an ability | knowledge_skills | prioritise and manage time effectively && an ability | knowledge_skills | multi - task
2493," The ability to work effectively within a team, build and maintain good working relationships with colleagues and stakeholders in order to promote continuous improvement",The ability | knowledge_skills | work effectively within a team
2494, Availability - Immediate start,Availability | Experience_skills | Immediate start
2495,"Experience working with customers, taking orders and dealing with queries","Experience | Experience_skills | taking orders and dealing with queries && Experience | Experience_skills | working with customers ,"
2496,Ability to commute to Edinburgh,Ability | knowledge_skills | commute to Edinburgh
2497,Ability to work unsupervised and deliver quality work,Ability | knowledge_skills | work unsupervised
2498,"A passion for broadcasting and digital formats and an understanding of those subjects, which fascinate, entertain and appeal to young audiences",A passion | knowledge_skills | broadcasting and digital formats
2499,Developed knowledge of BBC Radio’s output across digital platforms and that of its competitors in commercial radio and streaming services,Developed knowledge | knowledge_skills | BBC Radio ’ s output across digital platforms
2500,Awareness and understanding of video and audio production and editing tools such as Premier and/or Avid + VCS / Startrack,Awareness and understanding | knowledge_skills | video and audio production and editing tools && Awareness and understanding | knowledge_skills | Premier && Awareness and understanding | knowledge_skills | Avid + VCS / Startrack
2501,Awareness and understanding of CMS multiplatform tools such as iBroadcast,Awareness and understanding | knowledge_skills | CMS multiplatform tools && Awareness and understanding | knowledge_skills | iBroadcast
2502,Ability to communicate positively with a wide range of stakeholders including talent,Ability | knowledge_skills | communicate positively with a wide range of stakeholders including talent
2503,Proven experience of managing music content on digital platforms,Proven experience | Experience_skills | managing music content on digital platforms
2504,"Ability to prepare, manage and/or implement production resource plans and budgets","Ability | knowledge_skills | prepare , manage and / or implement production resource plans and budgets"
2505,Understanding of file formats,Understanding | knowledge_areas | file formats
2506,"Experience in booking post production resources, including booking talent such (i","Experience | Experience_skills | booking talent such ( i && Experience | Experience_skills | booking post production resources ,"
2507,Post production process experience and understanding of audio sessions,Post production process experience | Experience_skills | audio sessions && understanding | knowledge_skills | audio sessions
2508,Good understanding of the end to end promo production process,Good understanding | knowledge_skills | the end to end promo production process
2509,"Prior experience of managing workflow and resources to deliver multiple, at times conflicting projects","Prior experience | Experience_skills | managing workflow and resources to deliver multiple , at times conflicting projects"
2510,"Experience or a good understanding of the software development lifecycle is desirable, but not essential",good understanding | knowledge_skills | the software development lifecycle
2511,The continuing ability to fit into an aircraft jump seat harness which measures 106cm across the lap and 157cm from shoulder to waist,The continuing ability | knowledge_skills | fit into an aircraft jump seat harness which measures 106cm across the lap and 157cm from shoulder to waist
2512, Previous experience is not required as full training is provided in house over a period of two years,
2513, Previous experience in a contact centre/customer services/support role desirable,Previous experience | Experience_skills | a contact centre / customer services / support role
2514, Ability to work with accuracy and with an attention to detail,Ability | knowledge_skills | work with accuracy and with an attention to detail
2515," Your role focuses on the Proms and BBC Orchestras and Choirs, and contributes to delivering wide-reaching proactive press campaigns across all media platforms with a particular focus on reaching new, diverse audiences, and handling digital press and influencers",Your | knowledge_skills | the Proms && Your | knowledge_skills | BBC Orchestras and Choirs && particular focus | knowledge_skills | handling digital press and influencers
2516,"Experience of the ViLoR studio setup, Dira and Open Media is desirable but not essential",Experience | Experience_skills | the ViLoR studio setup && Experience | Experience_skills | Open Media && Experience | Experience_skills | Dira
2517, o Ability to work on your own,o Ability | knowledge_skills | work on your own
2518, Experience Required,
2519, Previous admin experience is essential,
2520," Your experience is important to us, but so is your enthusiasm and your specialist knowledge",
2521,"Extensive knowledge of the science, health and tech media landscape both inside and outside the BBC, particularly in the podcasting and social media space",Extensive knowledge | knowledge_areas | health && Extensive knowledge | knowledge_skills | health and && Extensive knowledge | knowledge_areas | the
2522,Knowledge of producer guidelines and experience of handling controversial issues,Knowledge | knowledge_skills | handling controversial issues && experience | Experience_skills | handling controversial issues && Knowledge | knowledge_skills | producer guidelines
2523," Although retail experience within the grocery sector is a plus, don’t worry it’s not essential as we’ll ensure that you have all the training you need to do an amazing job",
2524, Ability to work under pressure in a fast-paced environment,Ability | knowledge_skills | work under pressure in a fast - paced environment
2525, Ability to remain calm under pressure and provide reassurance to callers,Ability | knowledge_skills | provide reassurance to callers && Ability | knowledge_skills | remain calm under pressure
2526, Ability to show compassion and empathy,Ability | knowledge_skills | show compassion and empathy
2527,Previous customer service experience (call centre/retail/hospitality/front of house/receptionist),Previous customer service experience | Experience_skills | call centre / retail / hospitality / front of house / receptionist )
2528,Ability to work unsupervised and deliver quality work across multiple tasks within required deadlines,Ability | knowledge_skills | work unsupervised && Ability | knowledge_skills | deliver quality work across multiple tasks within required deadlines
2529,Positive and approachable manner,
2530, The ability to build and develop key relationships,The ability | knowledge_skills | build and develop key relationships
2531, Customer Focused,
2532,Demonstrable knowledge of news archiving systems and their application in managing news content (i,Demonstrable knowledge | knowledge_skills | news archiving systems
2533,"Understanding of archive selection, metadata enhancement",Understanding | knowledge_skills | archive selection && Understanding | knowledge_skills | metadata enhancement
2534,Knowledge of Quantel and basic editing skills essential but can be acquired or taught in role,Knowledge | knowledge_skills | basic editing skills && Knowledge | knowledge_skills | Quantel
2535, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2536, Our focus on freshness makes us stand out as we prepare more fresh food in-store than any other supermarket,Our focus | knowledge_skills | freshness
2537," The ability to keep to deadlines and react quickly to technical challenges is important, and you should enjoy working in a fast-paced environment",
2538,"Relevant experience in the automotive industry, including previous workshop control or technician roles",Relevant experience | Experience_skills | automotive industry && Relevant experience | Experience_areas | the automotive industry
2539,The ability to lead by example and motivate your team to achieve their targets and deliver a high standard of work,The ability | knowledge_skills | lead by example && The ability | knowledge_skills | motivate your team to achieve their targets and deliver a high standard of work
2540,Ability to create more work opportunities and sales in an honest and compliant manner,Ability | knowledge_skills | create more work opportunities and sales in an honest and compliant manner
2541, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2542, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2543,Ability to use valet materials quickly and efficiently,Ability | knowledge_skills | use valet materials quickly and efficiently
2544,Ability to be a good team player and work on your own initiative,Ability | knowledge_skills | be a good team player
2545,Previous experience of working in the rental industry,Previous experience | Experience_skills | working in the rental industry
2546,"Be knowledgeable and confident about all Costa products, after all its not just amazing coffee we sell, don’t forget our teas, frostinos, seasonal ranges and much more",Be knowledgeable | knowledge_skills | all
2547, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2548, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2549,The ability to multi-task,The ability | knowledge_skills | multi - task
2550,"Valet experience is preferred but not essential, training can be provided for a candidate who demonstrates a high level of enthusiasm and the other required criteria",
2551,Knowledge of Health & Safety regulations,Knowledge | knowledge_skills | Health & Safety regulations
2552,Ability to communicate effectively in writing,Ability | knowledge_skills | communicate effectively in writing
2553,"Be knowledgeable and confident about all Costa products, after all its not just amazing coffee we sell, don’t forget our teas, frostinos, seasonal ranges and much more",Be knowledgeable | knowledge_skills | all
2554,Some experience of working in a fast-paced environment,Some experience | Experience_skills | working in a fast - paced environment
2555, The ability to react positively to changing priorities,The ability | knowledge_skills | react positively to changing priorities
2556, Experience in providing excellent customer service,Experience | Experience_skills | providing excellent customer service
2557, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2558, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2559, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2560, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2561,The ability to build and maintain relationships easily,The ability | knowledge_skills | build and maintain relationships easily
2562,The ability to work as part of a team,The ability | knowledge_skills | work as part of a team
2563, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2564, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2565, Proven experience of acting as a Senior/Principal Geotechnical Engineer in a fast-moving engineering consultancy environment,Proven experience | Experience_skills | acting as a Senior / Principal Geotechnical Engineer in a fast - moving engineering consultancy environment
2566, Good commercial track record in negotiating and running successful jobs,Good commercial track record | Experience_skills | negotiating and running successful jobs
2567,"Maintaining knowledge of aftersales products and services, upselling where appropriate",Maintaining knowledge | knowledge_skills | aftersales products and services
2568,A passion for great customer service and the confidence to resolve any issues that may arise efficiently and in a timely manner,A passion | knowledge_skills | great customer service
2569,The ability to multi-task and be highly adaptable within a busy environment,The ability | knowledge_skills | multi - task && The ability | knowledge_skills | be highly adaptable within a busy environment
2570,Ability to prioritise your workload,Ability | knowledge_skills | prioritise your workload
2571,Experience of upselling products or services is desirable,Experience | Experience_skills | upselling products or services
2572, Gain experience and confidence,
2573, Experience in providing excellent customer service in a fast-paced environment,Experience | Experience_skills | providing excellent customer service in a fast - paced environment
2574, Ability to thrive in a team-based environment and achieve common goals,Ability | knowledge_skills | achieve common goals && Ability | knowledge_skills | thrive in a team - based environment
2575," Ability to effectively handle multiple priorities, organize workload, and meet deadlines","Ability | knowledge_skills | organize workload , and meet deadlines && Ability | knowledge_skills | effectively handle multiple priorities"
2576, Good knowledge of MS Office,Good knowledge | knowledge_skills | MS Office
2577, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2578,Proactive with the ability to multi-task,Proactive | knowledge_skills | multi - task
2579,"An ability to liaise effectively at all levels – with contractors, suppliers and customers","An ability | knowledge_skills | liaise effectively at all levels – with contractors , suppliers and customers"
2580,Ability to work on own initiative with minimal guidance,Ability | knowledge_skills | work on own initiative with minimal guidance
2581,Ability to exercise discretion and diplomacy,Ability | knowledge_skills | exercise discretion and diplomacy
2582,"Knowledge of Microsoft Word, Excel, Outlook",Knowledge | knowledge_skills | Microsoft Word && Knowledge | knowledge_skills | Outlook && Knowledge | knowledge_skills | Excel
2583,Knowledge of WordPress and social media platform management advantageous,Knowledge | knowledge_skills | WordPress && Knowledge | knowledge_skills | social media platform management
2584,Demonstrable ability to work effectively as part of a team,Demonstrable ability | knowledge_skills | work effectively as part of a team
2585,Previous experience of working in the rental industry,Previous experience | Experience_skills | working in the rental industry
2586,"Knowledge of using Microsoft applications, in particular PowerPoint, is essential","Knowledge | knowledge_skills | using Microsoft applications , in particular PowerPoint ,"
2587,Experience of working in an automotive environment,Experience | Experience_skills | working in an automotive environment
2588,Knowledge of the assessment process,Knowledge | knowledge_skills | the assessment process
2589," The ability to keep to deadlines and react quickly to technical challenges is important, and you should enjoy working in a fast-paced environment",
2590,"Relevant experience in the automotive industry, including previous workshop control or technician roles",Relevant experience | Experience_skills | automotive industry && Relevant experience | Experience_areas | the automotive industry
2591,The ability to lead by example and motivate your team to achieve their targets and deliver a high standard of work,The ability | knowledge_skills | lead by example && The ability | knowledge_skills | motivate your team to achieve their targets and deliver a high standard of work
2592,Ability to create more work opportunities and sales in an honest and compliant manner,Ability | knowledge_skills | create more work opportunities and sales in an honest and compliant manner
2593,Ability to work on your own initiative,Ability | knowledge_skills | work on your own initiative
2594,Ability to follow instructions and training on PPE equipment,Ability | knowledge_skills | follow instructions and training on PPE equipment
2595, Proven experience of acting as an Associate Geotechnical Engineer in a fast-moving engineering consultancy environment,Proven experience | Experience_skills | acting as an Associate Geotechnical Engineer in a fast - moving engineering consultancy environment
2596, Good commercial track record in negotiating and running successful jobs,Good commercial track record | Experience_skills | negotiating and running successful jobs
2597,Ability to work to deadlines and tight timescales,Ability | knowledge_skills | work to deadlines and tight timescales
2598,Ability to multi-task,Ability | knowledge_skills | multi - task
2599,Ability to work as a team and on your own initiative,Ability | knowledge_skills | work as a team and on your own initiative
2600, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2601, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2602,Ability to take instruction,Ability | knowledge_skills | take instruction
2603,An understanding that being organised and remembering the little details helps us to deliver our promises and exceed expectations,
2604, Have a comprehensive knowledge of valuation methodology and possess strong analytical and report writing ability,comprehensive knowledge | knowledge_areas | valuation methodology && comprehensive knowledge | knowledge_skills | valuation methodology
2605, The ability to maintain high energy levels whilst working both efficiently and productively is essential,The ability | knowledge_skills | maintain high energy levels whilst working both efficiently and productively is
2606,Must be familiar with RTITB paperwork and digital uploads,familiar | knowledge_skills | digital uploads && familiar | knowledge_skills | RTITB paperwork
2607,Demonstrate a good understanding of customer service,good understanding | knowledge_skills | customer service
2608,Experience of cash handling and working in a retail environment,Experience | Experience_skills | working in a retail environment && Experience | Experience_skills | cash handling
2609,Experience of manual handling and stock replenishment,Experience | Experience_skills | manual handling and stock replenishment
2610,Sound knowledge of learning and teaching context within the HE sector,Sound knowledge | knowledge_skills | learning and teaching context within the HE sector
2611,Ability to advise a diverse user base on how to make best use of a range of IT services,Ability | knowledge_skills | advise a diverse user base on how to make best use of a range of IT services
2612,Awareness and understanding of current technology developments,Awareness and understanding | knowledge_skills | current technology developments
2613,Relevant experience working in a similar or related role,Relevant experience | Experience_skills | working in a similar or related role
2614,"An integrated learning experience is provided via our Virtual Learning Environments (VLE), a suite of assessment, feedback, e-portfolio, on-line collaboration and communication tools",
2615,Working knowledge of large-scale computer models,Working knowledge | knowledge_areas | large - scale computer models
2616, That means product knowledge is very important too,That | knowledge_areas | product knowledge is very important && That | knowledge_skills | product knowledge is very important
2617,Experience in working to tight deadlines,Experience | Experience_skills | working to tight deadlines
2618,Ability to exercise judgement and initiative to work without direct supervision and prioritise own work within the annual academic cycle,Ability | knowledge_skills | exercise judgement and initiative && Ability | knowledge_skills | work without direct supervision and prioritise own work within the annual academic cycle
2619,Ability to quickly master new systems and processes and to demonstrable ability to sustain a high performance whilst under pressure,Ability | knowledge_skills | quickly master new systems and processes && Ability | knowledge_skills | sustain a high performance whilst under pressure
2620,"Working knowledge of systems, processes and procedures relating to student support, teaching and assessment administration",Working knowledge | knowledge_skills | teaching and assessment administration && Working knowledge | knowledge_skills | systems
2621,Good working knowledge of standard Microsoft Office software packages,Good working knowledge | knowledge_skills | standard Microsoft Office software packages
2622,They possess an intermediate knowledge level of all Microsoft office packages,an intermediate knowledge level | knowledge_skills | all Microsoft office packages
2623,Expert in the provision of soft services with experience in a similar industry,Expert | knowledge_skills | provision of soft services
2624,Fully capable of understanding and maintaining the confidentiality across the site and respecting the needs of all stakeholders,Fully capable | knowledge_skills | understanding and maintaining the confidentiality across the site
2625,"The ability to be calm and composed under pressure,",The ability | knowledge_skills | be calm and composed under pressure
2626,"Ability to analyse and solve problems with flexibility and thoroughness, demonstrating an appreciation of possible longer-term implications and possible indirect implications",an appreciation | knowledge_skills | possible indirect implications && an appreciation | knowledge_skills | analyse and solve problems with flexibility and thoroughness && Ability | knowledge_skills | analyse and solve problems with flexibility and thoroughness && an appreciation | knowledge_skills | possible longer - term implications
2627," Our ability to recruit, train, promote and retain top quality talent is one of our core strengths and has been fundamental to our long term growth","Our ability | knowledge_skills | recruit , train , promote and retain top quality talent"
2628, Gain experience and confidence,
2629,"Proven ability to use initiative, pro-active approach to seeking out information, and to work to deadline",Proven ability | knowledge_skills | use initiative && Proven ability | knowledge_skills | work to deadline
2630,"Proven ability to plan and prioritise, work independently and also as part of a team",Proven ability | Experience_skills | plan and && Proven ability | knowledge_skills | work independently and also as part of a team && Proven ability | knowledge_skills | plan and && Proven ability | Experience_skills | work independently and also as part of a team
2631,"every great wagamama experience needs great wagamama people! as a team member, yours is the friendly face our guests remember, you're the one who brings our food + restaurants to life!",
2632," Previous retail experience may be useful, specifically working within the Warehouse and on the Shop Floor",
2633,Ability to work as part of a team,Ability | knowledge_skills | to && Ability | knowledge_skills | work as part of a team
2634,the ability to strike a balance between leading the team and supporting on the shopfloor,the ability | knowledge_skills | strike a balance between leading the team and supporting on the shopfloor
2635,"A first degree in psychology, neuroscience, or a related subject",A first degree | degree_in | psychology && A first degree | degree_in | a related subject && A first degree | degree_in | neuroscience
2636,"Demonstrable understanding of research planning and procedures for large scale, multidisciplinary studies","Demonstrable understanding | knowledge_areas | research planning and procedures for large scale , multidisciplinary studies && Demonstrable understanding | knowledge_skills | research planning and procedures for large scale , multidisciplinary studies"
2637,"Ensure effective and efficient delivery of PPM, Reactive calls and additional Small Works assigned to them",Ensure effective and efficient | knowledge_skills | additional Small Works assigned to them && Ensure effective and efficient | knowledge_skills | Reactive calls
2638,"Proven experience in a similar role carrying out PPM, reactive calls and Small Works in the Fire & Security Systems industry",Proven experience | Experience_skills | similar role && Proven experience | Experience_skills | Small Works in the Fire & Security Systems industry && Proven experience | Experience_skills | a && Proven experience | Experience_skills | carrying out PPM
2639,Sound understanding of fault-finding techniques,Sound understanding | knowledge_areas | fault - finding techniques
2640,Ability to work on own with little supervision,Ability | knowledge_skills | work on own with little supervision
2641,Ability to prioritise,Ability | knowledge_skills | prioritise
2642,Ability to accept responsibility for timely completion of workload,Ability | knowledge_skills | accept responsibility for timely completion of workload
2643,Proficient in the use and functions of the designated offices security entry systems as appropriate,Proficient | knowledge_skills | use and functions of the designated offices security entry systems as appropriate
2644,Ability to use own initiative,Ability | knowledge_skills | use own initiative
2645,Ability to develop good working relationships with key stakeholders,Ability | knowledge_skills | develop good working relationships with key stakeholders
2646,Experience in a customer facing with a strong customer service background,Experience | Experience_skills | a customer facing with a strong customer service background
2647,"Ability to use modern surveillance systems, like CCTV and electronic tags","Ability | knowledge_skills | use modern surveillance systems , like CCTV and electronic tags"
2648,Ability to work independently with a capability to plan and co-ordinate workload to meet programme and academic timetables,capability | knowledge_skills | plan and co - ordinate workload to meet programme and academic timetables && Ability | knowledge_skills | work independently with a
2649,Ability to demonstrate a high degree of initiative; a proactive approach to seeking out information and proven experience of showing good judgement in resolving problems,a proactive approach | knowledge_skills | seeking out information && Ability | knowledge_skills | demonstrate a high degree of initiative
2650,Ability to support students in a sensitive and diplomatic manner,Ability | knowledge_skills | support students in a sensitive and diplomatic manner
2651,The ability to stay calm under pressure and whilst being friendly and confident,The ability | knowledge_skills | stay calm under pressure and whilst being friendly and confident
2652,"To have a full knowledge and understanding of the designated cleaning area, including the agreed work specification and time allocated to facilities",a full knowledge and understanding | knowledge_skills | the designated cleaning area && a full knowledge and understanding | knowledge_skills | the agreed work specification && a full knowledge and understanding | knowledge_skills | facilities
2653,Cleaning experience is preferred however training can be provided,
2654,Ability to work to a schedule and as part of a team,Ability | knowledge_skills | work to a schedule and as part of a team
