,Unnamed: 0,prefix,input_text,target_text
1212,1212,webNLG,Experience | Experience_skills | Power BI && Experience | Experience_skills | a data visualisation or BI tool && Experience | Experience_skills | Tableau, Experience of a data visualisation or BI tool such as Tableau or Power BI are preferred
1213,1213,webNLG,An understanding | knowledge_skills | ETL processes && An understanding | knowledge_skills | Data Warehousing && An understanding | knowledge_skills | AWS technologies && An understanding | knowledge_areas | ET," An understanding of Data Warehousing, ETL processes and AWS technologies are all desirable but not necessary"
1214,1214,webNLG,experience | Experience_skills | engaging with the business to,Do you have experience of engaging with the business to understand their requirements in order to feed into the design and build of the data model?
1215,1215,webNLG,ability | knowledge_skills | work with data sets to tell a story,Have the ability to work with data sets to tell a story
1216,1216,webNLG,understanding | knowledge_areas | consumer && understanding | knowledge_skills | consumer behaviour,Have a background in consumer research and understanding of consumer behaviour
1217,1217,webNLG,Demonstrate experience | Experience_skills | customer and commercial planning and development,Demonstrate experience in customer and commercial planning and development
1218,1218,webNLG,passionate | knowledge_areas | the travel industry && Knowledgeable and | knowledge_areas | the travel industry && passionate | knowledge_skills | long haul products && passionate | knowledge_areas | long haul products,Knowledgeable and passionate about the travel industry with first hand experience of long haul products
1219,1219,webNLG,ability | knowledge_skills | work on your own initiative,Self motivated and ability to work on your own initiative
1220,1220,webNLG,Experience | Experience_skills | report building from raw data, Experience of report building from raw data
1221,1221,webNLG,Experience | Experience_skills | working with vast SKU count inventories is preferred, Experience of working with vast SKU count inventories is preferred
1222,1222,webNLG,The ability | knowledge_skills | work with a team of experienced stock controllers, The ability to work with a team of experienced stock controllers
1223,1223,webNLG,"Ability | knowledge_skills | thrive in a fast - paced , dynamic work environment"," Ability to thrive in a fast-paced, dynamic work environment"
1224,1224,webNLG,Demonstrated experience | Experience_skills | working in an analytical role, Demonstrated experience of working in an analytical role
1225,1225,webNLG,Ability | knowledge_skills | translate large amounts of data into clear actionable insights, Ability to translate large amounts of data into clear actionable insights
1226,1226,webNLG,Ability | knowledge_skills | understand business processes and commercial implications to make strategic recommendations, Ability to understand business processes and commercial implications to make strategic recommendations
1227,1227,webNLG,Ability | knowledge_skills | motivateConflict Resolution, Ability to motivateConflict Resolution
1228,1228,webNLG,"Extended knowledge | knowledge_skills | Business Objects && Extended knowledge | knowledge_areas | capital markets activities ( business model , market / counterparty risks ) && Extended knowledge | knowledge_areas | technical aspects && Extended knowledge | knowledge_areas | Forex marketsK && Extended knowledge | knowledge_areas | Business && Extended knowledge | knowledge_skills | VBA && Extended knowledge | knowledge_skills | Microsoft Office"," Extended knowledge of Microsoft Office, Business Objects, VBAKnowledge of technical aspects of Forex marketsKnowledge of capital markets activities (business model, market/counterparty risks)"
1229,1229,webNLG,Knowledge | knowledge_skills | CA - CIB organisation, Knowledge of CA-CIB organisation i
1230,1230,webNLG,Proficient | knowledge_skills | the use of a personal computer && Proficient | knowledge_skills | business applications software, Proficient in the use of a personal computer and business applications software e
1231,1231,webNLG,"Ability | knowledge_skills | communicate complex ideas through data manipulation , using Power BI & Python where appropriate"," Ability to communicate complex ideas through data manipulation, using Power BI & Python where appropriate"
1232,1232,webNLG,Ability | knowledge_skills | extract and interpret data in order to display succinct information for reporting purposes, Ability to extract and interpret data in order to display succinct information for reporting purposes
1233,1233,webNLG,Degree ( or equivalent ) | degree_in | economics && Degree ( or equivalent ) | degree_in | statistics based subject && Degree ( or equivalent ) | degree_in | mathematics," Degree (or equivalent) in economics, mathematics or statistics based subject"
1234,1234,webNLG,"the | knowledge_skills | manipulate data and present it in varied , clear and concise formats && ability | knowledge_skills | manipulate data and present it in varied , clear and concise formats && experience | Experience_skills | MS Excel"," Advanced knowledge and experience of MS Excel and the ability to manipulate data and present it in varied, clear and concise formats"
1235,1235,webNLG,Proven experience | Experience_skills | working in a data analysis role, Proven experience working in a data analysis role
1236,1236,webNLG,Proven experience | Experience_skills | designing reports && Proven experience | Experience_skills | report writing, Proven experience of designing reports and report writing
1237,1237,webNLG,Robust experience | Experience_skills | SAP, Robust experience of SAP
1238,1238,webNLG,a degree or masters | degree_in | a similar subject ), a degree or masters in a similar subject)
1239,1239,webNLG,Ability | knowledge_skills | learn," Ability, or the desire to learn, to programme in languages such as Python or SQL is desirable"
1240,1240,webNLG,Degree | degree_in | a Data Science based course && Degree | degree_in | an analytic subject && Degree | degree_in | Maths && Degree | degree_in | Geography && Degree | degree_in | Economics && Degree | degree_in | Engineering," Degree in an analytic subject, eg Maths, Geography, Engineering, Economics or a Data Science based course etc"
1241,1241,webNLG,Previous experience | Experience_skills | running UX for B2B software company preferred, Previous experience in running UX for B2B software company preferred
1242,1242,webNLG,Recognised experience | Experience_skills | solutions / configuration,"Recognised experience in solutions/configuration to support ingestion, transformation and presentation of complex data sources into meaningful reports"
1243,1243,webNLG,Knowledge and understanding | knowledge_skills | Tableau && Knowledge and understanding | knowledge_skills | Qlik Sense && Knowledge and understanding | knowledge_skills | BI technology,"Knowledge and understanding of BI technology - Tableau, Qlik Sense"
1244,1244,webNLG,Experience | Experience_skills | working with regulatory milestone,Experience of working with regulatory milestone
1245,1245,webNLG,Previous work experience | Experience_skills | service desk && Previous work experience | Experience_skills | stand alone IT role supporting an organisation, Previous work experience in a service desk or stand alone IT role supporting an organisation
1246,1246,webNLG,Experience | Experience_skills | G - Suite && Experience | Experience_skills | Zoom ( If you are a Microsoft background there are many transferable skills ) && Experience | Experience_skills | Slack," Experience with G-Suite, Slack and Zoom (If you are a Microsoft background there are many transferable skills)"
1247,1247,webNLG,Experience | Experience_skills | using MDM platforms such as InTune or JAMF, Experience of using MDM platforms such as InTune or JAMF
1248,1248,webNLG,Experience | Experience_skills | working with SaaS solutions and remote infrastructure, Experience of working with SaaS solutions and remote infrastructure
1249,1249,webNLG,Experience | Experience_skills | using Cisco Meraki equipment, Experience of using Cisco Meraki equipment
1250,1250,webNLG,Experience | Experience_skills | working with third - party suppliers, Experience of working with third-party suppliers
1251,1251,webNLG,The ability | knowledge_skills | quickly build relationships to give customers a fantastic experience, The ability to quickly build relationships to give customers a fantastic experience
1252,1252,webNLG,Experience | Experience_skills | PowerBi && Experience | Experience_skills | similar packages, Experience of PowerBi or similar packages is desirable but not essential
1253,1253,webNLG,Maintain expert knowledge | knowledge_skills | all expense policy && Maintain expert knowledge | knowledge_areas | all,Maintain expert knowledge of all expense policy and related policies and procedures
1254,1254,webNLG,Experience | Experience_skills | auditing && Experience | Experience_skills | a related field required,Experience in auditing or a related field required
1255,1255,webNLG,Proficient | knowledge_skills | Excel && Proficient | knowledge_skills | Microsoft Office Suite && Proficient | knowledge_skills | Concur && Proficient | knowledge_skills | Tableau,"Proficient in Concur, Tableau, and/or Microsoft Office Suite including Excel"
1256,1256,webNLG,"Ability | knowledge_skills | apply judgment && Ability | knowledge_skills | make sound , thoughtful decisions in high pressure situations","Ability to apply judgment and make sound, thoughtful decisions in high pressure situations"
1257,1257,webNLG,Ability | knowledge_skills | act as a trusted resource && Ability | knowledge_skills | handling confidential information,Ability to act as a trusted resource; maintain a high level of integrity and discretion in handling confidential information
1258,1258,webNLG,Ability | knowledge_skills | develop relationships with internal and external counterparts,Ability to develop relationships with internal and external counterparts
1259,1259,webNLG,open mind | knowledge_skills | learn,"collaborative working and knowledge sharing are important aspects in the team, as well as having an open mind to learn and be innovative using new techniques, systems and tools"
1260,1260,webNLG,experience | Experience_skills | using SQL && Knowledge | knowledge_skills | predictive analytics tools && experience | Experience_skills | predictive analytics tools, Knowledge of predictive analytics tools is desirable as is knowledge and experience of using SQL
1261,1261,webNLG,Experience | Experience_skills | a similar data or analytical role,Experience in a similar data or analytical role
1262,1262,webNLG,Statistical knowledge | knowledge_areas | hypothesis testing && Statistical knowledge | knowledge_areas | significance && Statistical knowledge | knowledge_areas | basic probability theory && Statistical knowledge | knowledge_areas | sampling,"Statistical knowledge including sampling, significance, hypothesis testing and basic probability theory"
1263,1263,webNLG,Proven ability | knowledge_skills | engage productively with internal and external stakeholders,Proven ability to engage productively with internal and external stakeholders and hold suppliers effectively to account for performance and meeting commitments
1264,1264,webNLG,Experience | Experience_skills | working in a fast paced environment where prioritisation isrequired,Experience of working in a fast paced environment where prioritisation isrequired
1265,1265,webNLG,The ability | knowledge_skills | produce clear graphical representations and data visualisations,The ability to produce clear graphical representations and data visualisations
1266,1266,webNLG,"Experience | Experience_skills | working with , and building relationships with , others who are based remotely && Experience | Experience_skills | building & managing relationships via telephone , video calls and email","Experience of working with, and building relationships with, others who are based remotely- good at building & managing relationships via telephone, video calls and email"
1267,1267,webNLG,Ability | knowledge_skills | maintain strict confidentiality and discretion,Ability to maintain strict confidentiality and discretion
1268,1268,webNLG,Basic knowledge | knowledge_areas | regulatory data environment && Basic knowledge | knowledge_skills | regulatory data environment,Basic knowledge of regulatory data environment e
1269,1269,webNLG,"A large focus | knowledge_skills | successful delivery of large - scale , high - quality solutions"," A large focus of this role is successful delivery of large-scale, high-quality solutions"
1270,1270,webNLG,Essential Experience | Experience_skills | Capabilities,Essential Experience and Capabilities
1271,1271,webNLG,Experience | Experience_skills | leading and facilitating workshops,Experience of leading and facilitating workshops
1272,1272,webNLG,Ability | knowledge_skills | identify opportunities for insight within business functions,Ability to identify opportunities for insight within business functions
1273,1273,webNLG,Experience | Experience_skills | Power BI && Experience | Experience_skills | Google Analytics && Experience | Experience_skills | data visualisation tools && Experience | Experience_skills | Tableau,"Experience with data visualisation tools such as Tableau, Power BI, Google Analytics"
1274,1274,webNLG,Knowledge | knowledge_skills | latest data models && Knowledge | knowledge_areas | the && Knowledge | knowledge_areas | latest data models && Knowledge | knowledge_skills | the,Knowledge of the latest data models
1275,1275,webNLG,Ability | knowledge_skills | handle multiple tasks and deadlines with attention to detail,Ability to handle multiple tasks and deadlines with attention to detail
1276,1276,webNLG,"Experience | Experience_skills | working with internal / external customers , solving problems and implementing improvement plans","Experience of working with internal / external customers, solving problems and implementing improvement plans"
1277,1277,webNLG,Understanding | knowledge_skills | SQL writing,Understanding of SQL writing desirable
1278,1278,webNLG,Working knowledge | knowledge_skills | Power BI,Working knowledge of Power BI desirable
1279,1279,webNLG,Strong understanding | knowledge_areas | descriptive statistics, Strong understanding of descriptive statistics
1280,1280,webNLG,Coding capability | knowledge_skills | Matlab && Coding capability | knowledge_skills | similar statistical language && Coding capability | knowledge_skills | R && Coding capability | knowledge_skills | Python," Coding capability in R , Python, Matlab or similar statistical language"
1281,1281,webNLG,"Ability | knowledge_skills | synthesize qualitative and sometimes messy quantitative information , from often disparate and incomplete sources"," Ability to synthesize qualitative and sometimes messy quantitative information, from often disparate and incomplete sources"
1282,1282,webNLG,Experience | Experience_skills | working with large data sets, Experience working with large data sets
1283,1283,webNLG,Strong understanding | knowledge_areas | global macro themes && Strong understanding | knowledge_areas | financial markets && Strong understanding | knowledge_skills | global macro themes, Strong understanding of financial markets and global macro themes
1284,1284,webNLG,Understanding | knowledge_areas | greeks && Understanding | knowledge_skills | options pricing && Understanding | knowledge_areas | options pricing && Understanding | knowledge_skills | greeks, Understanding of options pricing and greeks
1285,1285,webNLG,Demonstrable experience | Experience_skills | performing data analysis on geospatial and non - geospatial data sets using a variety of tools and languages ( e, Demonstrable experience performing data analysis on geospatial and non-geospatial data sets using a variety of tools and languages (e
1286,1286,webNLG,Experience | Experience_skills | working with data systems and data processing pipelines and managing change, Experience of working with data systems and data processing pipelines and managing change
1287,1287,webNLG,Experience | Experience_skills | working with Local Land Charges and, Experience of working with Local Land Charges and/or Local Authority planning related systems and data highly advantageous
1288,1288,webNLG,Experience | Experience_skills | data testing highly advantageous, Experience with data testing highly advantageous
1289,1289,webNLG,Experience | Experience_skills | using SQL,Experience in using SQL
1290,1290,webNLG,Experience | Experience_skills | using Python or R,Experience in using Python or R
1291,1291,webNLG,Previous internship experience | Experience_skills | fintech / tech,Previous internship experience in fintech/tech
1292,1292,webNLG,Experience | Experience_skills | working in one of the fastest growing European FinTechs,Experience working in one of the fastest growing European FinTechs
1293,1293,webNLG,Ability | knowledge_skills | establish and maintain a high degree of confidentiality and credibility at all levels, Ability to establish and maintain a high degree of confidentiality and credibility at all levels
1294,1294,webNLG,Ability | knowledge_skills | solve problems creatively and effectively, Ability to solve problems creatively and effectively
1295,1295,webNLG,Ability | knowledge_skills | work well under pressure and to && Ability | knowledge_skills | tight deadlines in a demanding environment, Ability to work well under pressure and to tight deadlines in a demanding environment
1296,1296,webNLG,A basic understanding | knowledge_skills | Client Due Diligence && A basic understanding | knowledge_skills | Anti Money Laundering, A basic understanding of Client Due Diligence/Anti Money Laundering
1297,1297,webNLG,Ability | knowledge_skills | think clearly under pressure && Ability | knowledge_skills | work in a fast - paced environment,Ability to work in a fast-paced environment and think clearly under pressure
1298,1298,webNLG,Knowledge | knowledge_skills | programming standards && Knowledge | knowledge_skills | git version control,"Knowledge of programming standards, git version control helpful"
1299,1299,webNLG,Knowledge | knowledge_skills | SQL && Knowledge | knowledge_skills | any database && Knowledge | knowledge_skills | similar useful,Knowledge of any database such as SQL or similar useful
1300,1300,webNLG,Experience | Experience_skills | working in the Data Governance domain,"Experience working in the Data Governance domain, especially around transparency, lineage, quality, risk management, information security and compliance areas"
1301,1301,webNLG,Experience | Experience_skills | relational and data warehouse modelling and querying ( ideally but not essentially using Google BigQuery and AWS ),Experience in relational and data warehouse modelling and querying (ideally but not essentially using Google BigQuery and AWS)
1302,1302,webNLG,experience | Experience_skills | Data Governance tool implementation ( e,Knowledge and experience of Data Governance tool implementation (e
1303,1303,webNLG,Knowledge | knowledge_skills | reverse engineering && Knowledge | knowledge_skills | end - to - end data architecture mapping && Knowledge | knowledge_skills | system analysis,"Knowledge of end-to-end data architecture mapping, system analysis and reverse engineering"
1304,1304,webNLG,Knowledge | knowledge_skills | ETL processes && Knowledge | knowledge_skills | tools,Knowledge of ETL processes and tools
1305,1305,webNLG,"Ability | knowledge_skills | tailor approach to communication , analysis and team activities according to the given context","Ability to tailor approach to communication, analysis and team activities according to the given context"
1306,1306,webNLG,Understanding | knowledge_skills | PECR && Understanding | Experience_skills | GDPR && Understanding | Experience_skills | PECR && Understanding | knowledge_skills | DPA2018 && Understanding | Experience_skills | DPA2018 && Understanding | knowledge_skills | CCPA requirements && Understanding | knowledge_skills | GDPR && Understanding | Experience_skills | CCPA requirements,"Understanding of DPA2018, GDPR, PECR, CCPA requirements"
1307,1307,webNLG,Understanding | knowledge_areas | industry standard data governance frameworks,Understanding of industry standard data governance frameworks
1308,1308,webNLG,expert knowledge | knowledge_skills | Leadership Dynamics,Developing an expert knowledge in Leadership Dynamics and actively drive deployment of this capability across business development & service delivery
1309,1309,webNLG,Ability | knowledge_skills | articulate oneself && Ability | knowledge_skills | communicate with different stakeholders clearly and effectively,Ability to articulate oneself and communicate with different stakeholders clearly and effectively
1310,1310,webNLG,Ability | knowledge_skills | apply creative thinking and innovative methods && Ability | knowledge_skills | deliver outstanding work,Ability to apply creative thinking and innovative methods and deliver outstanding work
1311,1311,webNLG,Proficient | knowledge_skills | VBA && Proficient | knowledge_skills | MS Office tools && Proficient | knowledge_skills | other coding languages,"Proficient with MS Office tools, VBA and other coding languages are an advantage"
1312,1312,webNLG,"Familiar | knowledge_skills | one of more software development language , Python , Java etc"," Familiar with one of more software development language, Python, Java etc"
1313,1313,webNLG,Extensive experience | Experience_skills | data modeling in a large complex business with multiple systems,Extensive experience in data modeling in a large complex business with multiple systems
1314,1314,webNLG,Ability | knowledge_skills | simplify complex problems and communicate them to a broad audience,Ability to simplify complex problems and communicate them to a broad audience
1315,1315,webNLG,Have a degree or equivalent experience | degree_in | an analytical field ( e,Have a degree or equivalent experience within an analytical field (e
1316,1316,webNLG,Expertise | knowledge_skills | reviewing market trends && Expertise | knowledge_areas | reviewing market trends && Expertise | knowledge_areas | research methods," Expertise in research methods, and reviewing market trends"
1317,1317,webNLG,Experience | Experience_skills | conducting data analytics in a statistical computing package ( i, Experience conducting data analytics in a statistical computing package (i
1318,1318,webNLG,Experience | Experience_skills | running randomised controlled trials ( e, Experience running randomised controlled trials (e
1319,1319,webNLG,Experience | Experience_skills | project management && Experience | Experience_skills | planning && Experience | Experience_skills | stakeholder management," Experience in planning, project management and stakeholder management"
1320,1320,webNLG,The ability | knowledge_skills | provide imaginative solutions to challenges && The ability | knowledge_skills | listen to requirements, The ability to listen to requirements and provide imaginative solutions to challenges
1321,1321,webNLG,The ability | knowledge_skills | work independently and as part of a team, The ability to work independently and as part of a team
1322,1322,webNLG,Experience | Experience_skills | writing data analysis plans && Experience | Experience_skills | preparing data output for publication,Experience of writing data analysis plans and preparing data output for publication
1323,1323,webNLG,Experience | Experience_skills | presenting data analysis results to non - statisticians using PowerPoint or equivalent,Experience of presenting data analysis results to non-statisticians using PowerPoint or equivalent
1324,1324,webNLG,Experience | Experience_skills | leading others to build their technical skills and skills as a consultant, Experience leading others to build their technical skills and skills as a consultant
1325,1325,webNLG,Fluency | knowledge_skills | Python machine learning," Fluency with Python machine learning and data science packages (Scikit-learn, Apache Spark, DASK, Tensorflow, etc"
1326,1326,webNLG,Academic background | degree_in | a relevant quantitative field," Academic background in a relevant quantitative field, e"
1327,1327,webNLG,experience | Experience_skills | previous risk && experience | Experience_areas | regulatory && experience | Experience_areas | banking industry && experience | Experience_areas | the && experience | Experience_skills | regulatory," Knowledge and experience of the banking industry and regulatory and commercial environment, preferably with previous risk, controls or testing experience"
1328,1328,webNLG,An understanding | knowledge_skills | our customers && An understanding | knowledge_areas | the financial services industry, An understanding of the financial services industry and our customers
1329,1329,webNLG,Knowledge | knowledge_skills | our products && Knowledge | knowledge_skills | processes && Knowledge | knowledge_skills | banking systems," Knowledge of our products, processes and banking systems"
1330,1330,webNLG,"The ability | knowledge_skills | work accurately , to deadlines and with high levels of attention to detail to ensure testing is completed effectively"," The ability to work accurately, to deadlines and with high levels of attention to detail to ensure testing is completed effectively"
1331,1331,webNLG,The ability | knowledge_skills | work autonomously as well as part of a team, The ability to work autonomously as well as part of a team
1332,1332,webNLG,Experience | Experience_skills | supporting and influencing senior management, Experience of supporting and influencing senior management
1333,1333,webNLG,The ability | knowledge_skills | perform under pressure, The ability to perform under pressure
1334,1334,webNLG,Sound knowledge | knowledge_areas | business processes, Sound knowledge of business processes
1335,1335,webNLG,Previous experience | Experience_skills | NGS data analysis pipeline development && Previous experience | Experience_areas | diagnostic genetics && Previous experience | Experience_skills | diagnostic genetics laboratory, Previous experience in a diagnostic genetics laboratory or in NGS data analysis pipeline development and maintenance is essential; no previous experience in neurology is necessary
1336,1336,webNLG,Experience | Experience_skills | data science && Experience | Experience_skills | data extraction && Experience | Experience_skills | analytics," Experience in data science, data extraction, and analytics"
1337,1337,webNLG,"Experience | Experience_skills | using Python , R , or SQL in an analytical role","Experience using Python, R, or SQL in an analytical role"
1338,1338,webNLG,Experience | Experience_skills | working with BigQuery, Experience working with BigQuery
1339,1339,webNLG,Experience | Experience_skills | working with cross - functional teams and stakeholders,Experience working with cross-functional teams and stakeholders
1340,1340,webNLG,Experience | Experience_skills | experimental design && Experience | Experience_skills | supervised / unsupervised machine learning approaches for both regression and classification tasks,Experience with experimental design and supervised/unsupervised machine learning approaches for both regression and classification tasks
1341,1341,webNLG,Experience | Experience_skills | ensure that problems are solved at both a tactical and strategic level && Experience | Experience_skills | root cause analysis,Experience with root cause analysis to ensure that problems are solved at both a tactical and strategic level
1342,1342,webNLG,Carries | knowledge_skills | following established procedures in order to support others, Carries out simple knowledge management tasks by following established procedures in order to support others
1343,1343,webNLG,An understanding | knowledge_skills | our customers && An understanding | knowledge_areas | the financial services industry, An understanding of the financial services industry and our customers
1344,1344,webNLG,"The ability | knowledge_skills | follow regulatory , operational and control processes && The ability | knowledge_skills | manage risks"," The ability to manage risks and follow regulatory, operational and control processes"
1345,1345,webNLG,An understanding | knowledge_skills | our customers && An understanding | knowledge_areas | the financial services industry, An understanding of the financial services industry and our customers
1346,1346,webNLG,Your areas | degree_in | expertise && Your areas | knowledge_areas | expertise && Your areas | degree_in | knowledge && Your areas | knowledge_areas | knowledge, Your areas of knowledge and expertise
1347,1347,webNLG,Strong understanding | knowledge_skills | scientific programming languages && Strong understanding | knowledge_skills | Python && Strong understanding | knowledge_skills | Matlab," Strong understanding of scientific programming languages such as Matlab, Python"
1348,1348,webNLG,Strong understanding | knowledge_skills | C # / Java && Strong understanding | knowledge_skills | a modern object - oriented language, Strong understanding of a modern object-oriented language such as C#/Java
1349,1349,webNLG,Proficient | knowledge_skills | machine learning && Proficient | knowledge_skills | signal processing algorithms && Proficient | knowledge_skills | established computer / data science," Proficient with established computer/data science, machine learning, signal processing algorithms"
1350,1350,webNLG,Familiar | knowledge_skills | established robotics and motion planning paradigms, Familiar with established robotics and motion planning paradigms
1351,1351,webNLG,High degree | knowledge_skills | attention && High degree | knowledge_skills | detail, High degree of attention to detail
1352,1352,webNLG,Experience | Experience_skills | Motorsports, Experience in Motorsports is a plus
1353,1353,webNLG,Understanding | knowledge_skills | the Commercial Banking business && Understanding | knowledge_skills | excellent customer and stakeholder engagement, Understanding the needs of our customers and the Commercial Banking business through excellent customer and stakeholder engagement
1354,1354,webNLG,An understanding | knowledge_skills | our customers && An understanding | knowledge_areas | the financial services industry, An understanding of the financial services industry and our customers
1355,1355,webNLG,Building your knowledge | knowledge_skills | the wider team ’ s portfolio && Building your knowledge | knowledge_skills | actively seeking development opportunities, Building your knowledge of the wider team’s portfolio and actively seeking development opportunities
1356,1356,webNLG,An understanding | knowledge_skills | risk assessment && An understanding | knowledge_skills | monitoring and control processes across a range of customer scenarios," An understanding of risk assessment, monitoring and control processes across a range of customer scenarios"
1357,1357,webNLG,Experience | Experience_skills | regulatory and control processes && Experience | Experience_skills | credit stewardship, Experience of credit stewardship and regulatory and control processes
1358,1358,webNLG,"The ability | knowledge_skills | manage risk to ensure the bank ’ s regulatory , operational and control processes are followed consistently"," The ability to manage risk to ensure the bank’s regulatory, operational and control processes are followed consistently"
1359,1359,webNLG,Use your experience | Experience_skills | A / B testing && Use your experience | Experience_skills | design and structure experiments within personal banking that enable the teams,Use your experience with A/B testing to design and structure experiments within personal banking that enable the teams to learn and iterate quickly
1360,1360,webNLG,experience | Experience_skills | conducting large scale A / B experiments,You have experience in conducting large scale A/B experiments
1361,1361,webNLG,experience | Experience_skills | a fast moving tech company && experience | Experience_skills | product,"You have experience in product or growth analytics, preferably in a fast moving tech company"
1362,1362,webNLG,Significant experience | Experience_skills | big data environments && Significant experience | Experience_skills | analytical or database querying software && Significant experience | Experience_skills | SQL && Significant experience | Experience_skills | R && Significant experience | Experience_skills | using cloud environments for analysis," Significant experience with analytical or database querying software such as SQL, R or Python, as well as data visualisation software, big data environments or using cloud environments for analysis"
1363,1363,webNLG,A track record | Experience_skills | delivering a complex analytical service && A track record | Experience_skills | using statistical techniques to articulate and translate business problems && experience | Experience_skills | using statistical techniques to articulate and translate business problems, A track record of delivering a complex analytical service and experience of using statistical techniques to articulate and translate business problems
1364,1364,webNLG,The ability | knowledge_skills | identify wider business impacts or opportunities across key outputs and processes, The ability to identify wider business impacts or opportunities across key outputs and processes
1365,1365,webNLG,"Experience | Experience_skills | coaching and developing , and delivering through others"," Experience of coaching and developing, and delivering through others"
1366,1366,webNLG,"Ability | knowledge_skills | work at pace with little information , in a team and independently"," Ability to work at pace with little information, in a team and independently"
1367,1367,webNLG,Methodical | knowledge_skills | managing work output && Methodical | knowledge_skills | ensuring deliverables are met, Methodical in approach to managing work output and ensuring deliverables are met
1368,1368,webNLG,Knowledge | knowledge_areas | operational principles, Knowledge and experience of operational principles
1369,1369,webNLG,The ability | knowledge_skills | prioritise and multitask, The ability to prioritise and multitask
1370,1370,webNLG,Experience | Experience_skills | R && Experience | Experience_skills | analytical or database querying software && Experience | Experience_skills | SAS && Experience | Experience_skills | Python && Experience | Experience_skills | SQL," Experience with analytical or database querying software such as SQL, SAS, R or Python"
1371,1371,webNLG,A track record | Experience_skills | delivering an analytical service && experience | Experience_skills | using statistical techniques to articulate and translate business questions && A track record | Experience_skills | using statistical techniques to articulate and translate business questions, A track record of delivering an analytical service and experience of using statistical techniques to articulate and translate business questions
1372,1372,webNLG,The ability | knowledge_skills | identify wider business impacts or opportunities across key outputs and processes, The ability to identify wider business impacts or opportunities across key outputs and processes
1373,1373,webNLG,A postgraduate degree | degree_in | a quantitative subject && A postgraduate degree | degree_in | physics && A postgraduate degree | degree_in | similar professional qualifications && A postgraduate degree | degree_in | quantitative finance && A postgraduate degree | degree_in | mathematics," A postgraduate degree in a quantitative subject such as mathematics, physics or quantitative finance, or similar professional qualifications"
1374,1374,webNLG,Knowledge | knowledge_skills | risk - model - related regulatory requirements, Knowledge of risk-model-related regulatory requirements
1375,1375,webNLG,"The ability | knowledge_skills | assist in team planning and prioritisation , including detailed planning of assigned projects within the team ’ s roadmap"," The ability to assist in team planning and prioritisation, including detailed planning of assigned projects within the team’s roadmap"
1376,1376,webNLG,The ability | knowledge_skills | work well as part of a team and under the guidance of other team members," The ability to work well as part of a team and under the guidance of other team members, to deliver successful on-time outcomes consistent with industry leading practices"
1377,1377,webNLG,Familiar | knowledge_skills | SQL databases, Familiar with SQL databases
1378,1378,webNLG,An ability | knowledge_skills | forward plan to ensure effective use of their and the Directors time to maximise their contribution to the management and development of the Group, An ability to forward plan to ensure effective use of their and the Directors time to maximise their contribution to the management and development of the Group
1379,1379,webNLG,"Experience | Experience_skills | working as a personal assistant in a large , corporate environment"," Experience working as a personal assistant in a large, corporate environment"
1380,1380,webNLG,Background | Experience_areas | financial services, Background in financial services
1381,1381,webNLG,"Ability | knowledge_skills | form knowledge based proposals for mitigating emerging AML risks , that comply with forthcoming regulatory changes , but also take into account Bank Risk Appetite"," Ability to form knowledge based proposals for mitigating emerging AML risks, that comply with forthcoming regulatory changes, but also take into account Bank Risk Appetite"
1382,1382,webNLG,"good understanding | knowledge_areas | Agile values , principles and methodologies"," A good understanding of Agile values, principles and methodologies with experience of working within an Agile environment"
1383,1383,webNLG,Knowledge | knowledge_skills | UK payment systems && Knowledge | knowledge_skills | open banking," Knowledge of UK payment systems, open banking an advantage"
1384,1384,webNLG,Experience | Experience_skills | primary data analysis skills using SQL && Experience | Experience_skills | relational database technologies," Experience in API technologies, relational database technologies and primary data analysis skills using SQL are essential"
1385,1385,webNLG,Knowledge | knowledge_areas | agile && Knowledge | knowledge_areas | our change framework, Knowledge of our change framework including agile and scrum methodologies
1386,1386,webNLG,Experience | Experience_skills | change management, Experience of change management
1387,1387,webNLG,Experience | Experience_skills | delivering project analysis in a Technology function, Experience of delivering project analysis in a Technology function
1388,1388,webNLG,Knowledge | knowledge_areas | cultural change methodologies, Knowledge of cultural change methodologies
1389,1389,webNLG,Experience | Experience_skills | providing," Experience providing advanced analytics in a customer, retail & consumer, marketing or other front office context"
1390,1390,webNLG,Proven ability | knowledge_skills | handle multiple project commitments simultaneously, Proven ability to handle multiple project commitments simultaneously
1391,1391,webNLG,Fluency | knowledge_skills | Python machine learning," Fluency with Python machine learning and data science packages (Scikit-learn, Apache Spark, DASK, Tensorflow, etc"
1392,1392,webNLG,Academic background | degree_in | a relevant quantitative field," Academic background in a relevant quantitative field, e"
1393,1393,webNLG,"Understanding | knowledge_areas | business functions ( Forecasting , Assortment Planning , Pricing et ) && Understanding | knowledge_skills | business functions ( Forecasting , Assortment Planning , Pricing et )"," Understanding of business functions (Forecasting, Assortment Planning, Pricing et)"
1394,1394,webNLG,Knowledgeable about and proactive | knowledge_areas | upholding best practice data governance && Knowledgeable | knowledge_skills | upholding best practice data governance, Knowledgeable about and proactive in upholding best practice data governance
1395,1395,webNLG,Experience | Experience_skills | Alteryx && Experience | Experience_skills | SQL && Experience | Experience_skills | Python," Experience with Alteryx, Python, SQL"
